contrast,ratio,SE,df,null,z.ratio,p.value,rep,beta_0,beta_s,beta_l,beta_t,beta_sl,beta_st,beta_lt,beta_slt,sigma
(switch / repetition incongruent) / (switch / repetition neutral),1.0688781497860100,0.011328068904809100,Inf,1,6.285059677350750,3.27727774373151E-10,6,6.945,0.0875,-0.0171,0.041,0.0101,0.015,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9912617733838680,0.011903603215216300,Inf,1,-0.7308658113568420,0.4648611205158240,7,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0066886991580100,0.01108540301994660,Inf,1,0.6053924053395840,0.5449182960637960,7,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0088270184412800,0.013263791709726500,Inf,1,0.668425940168496,0.5038617417297980,7,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0198613751967600,0.012814077781734800,Inf,1,1.565256561231580,0.11752276404394900,7,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.025242682178550,0.012339961195872100,Inf,1,2.0712083986189100,0.03833932507837470,7,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0255818971823700,0.012876135910322500,Inf,1,2.011966864221840,0.044223430068745000,7,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0294983971228800,0.01326714814988900,Inf,1,2.2558924097090100,0.024077370003044300,7,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0496039128528400,0.01142635193032550,Inf,1,4.447117951574310,8.70300554937909E-06,7,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.037177670237450,0.01053112393105330,Inf,1,3.595091220718350,3.2427793300867E-04,7,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0447346158776300,0.013038833545851500,Inf,1,3.5064956766024300,4.5404881252873E-04,7,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0465725516079300,0.012081780247766700,Inf,1,3.9431770266439200,8.04092556047711E-05,7,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0506403538092000,0.012386636559055100,Inf,1,4.190117642572660,2.78809864335597E-05,7,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0531400134913300,0.011283481167369900,Inf,1,4.832513764936850,1.34819786951903E-06,7,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
